route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,IC,Gand-Saint-Pierre -- Alost,,103,,,
10,NMBS/SNCB,BUS,Zottegem -- Denderleeuw,,700,,,
100,NMBS/SNCB,BUS,Liège-Guillemins -- Welkenraedt,,700,,,
101,NMBS/SNCB,BUS,Namur -- Charleroi-Central,,700,,,
102,NMBS/SNCB,BUS,Namur -- Jemeppe-sur-Sambre,,700,,,
103,NMBS/SNCB,BUS,Maastricht (NL) -- Visé,,700,,,
104,NMBS/SNCB,BUS,Maastricht (NL) -- Liège-Guillemins,,700,,,
105,NMBS/SNCB,BUS,Liège-Guillemins -- Flémalle-Haute,,700,,,
106,NMBS/SNCB,BUS,Ottignies -- Bruxelles-Midi,,700,,,
107,NMBS/SNCB,BUS,Bruxelles-Luxembourg -- Ottignies,,700,,,
108,NMBS/SNCB,BUS,Liège-Guillemins -- Rivage,,700,,,
109,NMBS/SNCB,BUS,Ottignies -- Louvain-la-Neuve,,700,,,
11,NMBS/SNCB,BUS,Lichtervelde -- La Panne,,700,,,
110,NMBS/SNCB,BUS,Welkenraedt -- Eupen,,700,,,
111,NMBS/SNCB,BUS,Landen -- Liège-Guillemins,,700,,,
112,NMBS/SNCB,BUS,Liège-Guillemins -- Herstal,,700,,,
113,NMBS/SNCB,BUS,Liège-Guillemins -- Liers,,700,,,
114,NMBS/SNCB,BUS,Liège-Guillemins -- Liège-Saint-Lambert,,700,,,
115,NMBS/SNCB,BUS,Verviers-Central -- Spa-Géronstère,,700,,,
116,NMBS/SNCB,BUS,Bertrix -- Athus,,700,,,
117,NMBS/SNCB,BUS,Aachen Hbf (DE) -- Welkenraedt,,700,,,
118,NMBS/SNCB,BUS,Tournai -- Ath,,700,,,
119,NMBS/SNCB,BUS,La Louvière-Sud -- Tournai,,700,,,
12,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Zottegem,,700,,,
120,NMBS/SNCB,BUS,Mons -- Saint-Ghislain,,700,,,
121,NMBS/SNCB,BUS,Jurbise -- Ath,,700,,,
122,NMBS/SNCB,BUS,Mons -- Soignies,,700,,,
123,NMBS/SNCB,BUS,Ath -- Grammont,,700,,,
124,NMBS/SNCB,BUS,Mons -- La Louvière-Sud,,700,,,
125,NMBS/SNCB,BUS,Bruxelles-Midi -- Ath,,700,,,
126,NMBS/SNCB,BUS,Ottignies -- Charleroi-Central,,700,,,
127,NMBS/SNCB,BUS,Jurbise -- Braine-le-Comte,,700,,,
128,NMBS/SNCB,BUS,Saint-Ghislain -- Tournai,,700,,,
129,NMBS/SNCB,BUS,Bruxelles-Midi -- Braine-le-Comte,,700,,,
13,NMBS/SNCB,BUS,Lokeren -- Saint-Nicolas,,700,,,
130,NMBS/SNCB,BUS,Charleroi-Central -- Fleurus,,700,,,
131,NMBS/SNCB,BUS,Hal -- Braine-le-Comte,,700,,,
132,NMBS/SNCB,BUS,Hal -- Tournai,,700,,,
133,NMBS/SNCB,BUS,Mons -- Quévy,,700,,,
134,NMBS/SNCB,BUS,Hal -- Enghien,,700,,,
135,NMBS/SNCB,BUS,Braine-le-Comte -- Saint-Ghislain,,700,,,
136,NMBS/SNCB,BUS,Mons -- Braine-le-Comte,,700,,,
137,NMBS/SNCB,BUS,Hal -- Ath,,700,,,
138,NMBS/SNCB,BUS,Hal -- Saint-Ghislain,,700,,,
139,NMBS/SNCB,BUS,Bruxelles-Midi -- Jurbise,,700,,,
14,NMBS/SNCB,BUS,Audenarde -- Denderleeuw,,700,,,
140,NMBS/SNCB,BUS,La Louvière-Sud -- Braine-le-Comte,,700,,,
141,NMBS/SNCB,BUS,Luttre -- Manage,,700,,,
142,NMBS/SNCB,BUS,Charleroi-Central -- Couvin,,700,,,
143,NMBS/SNCB,BUS,La Louvière-Sud -- Manage,,700,,,
144,NMBS/SNCB,BUS,Charleroi-Central -- Mons,,700,,,
145,NMBS/SNCB,BUS,Maubeuge (FR) -- Charleroi-Central,,700,,,
146,NMBS/SNCB,BUS,Enghien -- Ath,,700,,,
147,NMBS/SNCB,BUS,Mariembourg -- Couvin,,700,,,
148,NMBS/SNCB,BUS,La Louvière-Sud -- Ecaussinnes,,700,,,
149,NMBS/SNCB,BUS,Saint-Ghislain -- Quiévrain,,700,,,
15,NMBS/SNCB,BUS,Zottegem -- Courtrai,,700,,,
150,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
151,NMBS/SNCB,BUS,Piéton -- La Louvière-Centre,,700,,,
152,NMBS/SNCB,BUS,Walcourt -- Couvin,,700,,,
153,NMBS/SNCB,BUS,Lille Flandres (FR) -- Courtrai,,700,,,
154,NMBS/SNCB,BUS,La Louvière-Sud -- Binche,,700,,,
155,NMBS/SNCB,BUS,Ottignies -- Fleurus,,700,,,
156,NMBS/SNCB,BUS,Lille Flandres (FR) -- Mouscron,,700,,,
157,NMBS/SNCB,BUS,Tongres -- Aarschot,,700,,,
158,NMBS/SNCB,BUS,Lierre -- Heist-op-den-Berg,,700,,,
159,NMBS/SNCB,L,Bruxelles-Luxembourg -- Brussels Airport-Zaventem,,100,,,
16,NMBS/SNCB,BUS,Audenarde -- Renaix,,700,,,
160,NMBS/SNCB,L,Bruxelles-Nord -- Bruxelles-Midi,,100,,,
161,NMBS/SNCB,L,Anvers-Central -- Heist-op-den-Berg,,100,,,
162,NMBS/SNCB,IC,Mol -- Hamont,,103,,,
163,NMBS/SNCB,BUS,Luxembourg (LU) -- Arlon,,700,,,
164,NMBS/SNCB,L,Ottignies -- Louvain-la-Neuve,,100,,,
165,NMBS/SNCB,BUS,Ciney -- Sart-Bernard,,700,,,
166,NMBS/SNCB,BUS,Namur -- Ciney,,700,,,
167,NMBS/SNCB,BUS,Namur -- Rochefort-Jemelle,,700,,,
168,NMBS/SNCB,IC,Anvers-Central -- Saint-Nicolas,,103,,,
169,NMBS/SNCB,BUS,Ettelbruck (LU) -- Gouvy,,700,,,
17,NMBS/SNCB,BUS,Grammont -- Denderleeuw,,700,,,
