route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:007::8892007:8895000:9:542:20240412,Alost,10303,,1,,1
1,000002,88____:007::8892007:8895000:9:647:20240414,Alost,10304,,2,,1
1,000001,88____:007::8892007:8895000:9:647:20240412,Alost,10304,,3,,1
1,000003,88____:007::8892007:8895000:9:645:20240407,Alost,10304,,4,,1
2,000004,88____:007::8892338:8892007:11:707:20240413,Alost,10305,,5,,1
2,000004,88____:007::8892007:8895000:9:747:20240413,Alost,10305,,5,,1
2,000038,88____:007::8892007:8895000:9:747:20240414,Alost,10305,,6,,1
1,000001,88____:007::8892007:8895000:9:747:20240412,Alost,10305,,7,,1
2,000005,88____:007::8892338:8892007:11:707:20240406,Alost,10305,,8,,1
2,000005,88____:007::8892007:8895000:9:745:20240406,Alost,10305,,8,,1
2,002953,88____:007::8892007:8895000:9:745:20240407,Alost,10305,,9,,1
2,000002,88____:007::8892338:8895000:19:847:20240414,Alost,10306,,10,,1
1,000001,88____:007::8892007:8895000:9:847:20240412,Alost,10306,,11,,1
2,000003,88____:007::8892338:8895000:19:845:20240407,Alost,10306,,12,,1
2,000002,88____:007::8892338:8895000:19:947:20240414,Alost,10307,,13,,1
1,000001,88____:007::8892007:8895000:9:947:20240412,Alost,10307,,14,,1
2,000003,88____:007::8892338:8895000:19:945:20240407,Alost,10307,,15,,1
2,000002,88____:007::8892338:8895000:19:1047:20240414,Alost,10308,,16,,1
1,000001,88____:007::8892007:8895000:9:1047:20240412,Alost,10308,,17,,1
2,000003,88____:007::8892338:8895000:19:1045:20240407,Alost,10308,,18,,1
2,000002,88____:007::8892338:8895000:19:1147:20240414,Alost,10309,,19,,1
1,000001,88____:007::8892007:8895000:9:1147:20240412,Alost,10309,,20,,1
2,000003,88____:007::8892338:8895000:19:1145:20240407,Alost,10309,,21,,1
2,000002,88____:007::8892338:8895000:19:1247:20240414,Alost,10310,,22,,1
1,000001,88____:007::8892007:8895000:9:1247:20240412,Alost,10310,,23,,1
2,000003,88____:007::8892338:8895000:19:1245:20240407,Alost,10310,,24,,1
2,000002,88____:007::8892338:8895000:19:1347:20240414,Alost,10311,,25,,1
1,000001,88____:007::8892007:8895000:9:1347:20240412,Alost,10311,,26,,1
2,000003,88____:007::8892338:8895000:19:1345:20240407,Alost,10311,,27,,1
2,000002,88____:007::8892338:8895000:19:1447:20240414,Alost,10312,,28,,1
1,000001,88____:007::8892007:8895000:9:1447:20240412,Alost,10312,,29,,1
2,000003,88____:007::8892338:8895000:19:1445:20240407,Alost,10312,,30,,1
2,000002,88____:007::8892338:8895000:19:1547:20240414,Alost,10313,,31,,1
1,000001,88____:007::8892007:8895000:9:1547:20240412,Alost,10313,,32,,1
2,000003,88____:007::8892338:8895000:19:1545:20240407,Alost,10313,,33,,1
2,000002,88____:007::8892338:8895000:19:1647:20240414,Alost,10314,,34,,1
1,000001,88____:007::8892007:8895000:9:1647:20240412,Alost,10314,,35,,1
2,000003,88____:007::8892338:8895000:19:1645:20240407,Alost,10314,,36,,1
2,000002,88____:007::8892338:8895000:19:1747:20240414,Alost,10315,,37,,1
1,000001,88____:007::8892007:8895000:9:1747:20240412,Alost,10315,,38,,1
2,000003,88____:007::8892338:8895000:19:1745:20240407,Alost,10315,,39,,1
2,000002,88____:007::8892338:8895000:19:1847:20240414,Alost,10316,,40,,1
1,000001,88____:007::8892007:8895000:9:1847:20240412,Alost,10316,,41,,1
2,000006,88____:007::8892338:8895000:19:1845:20240331,Alost,10316,,42,,1
2,000007,88____:007::8892338:8895000:19:1845:20240407,Alost,10316,,43,,1
2,000002,88____:007::8892338:8895000:19:1947:20240414,Alost,10317,,44,,1
1,000001,88____:007::8892007:8895000:9:1947:20240412,Alost,10317,,45,,1
2,000003,88____:007::8892338:8895000:19:1945:20240407,Alost,10317,,46,,1
2,000002,88____:007::8892338:8895000:19:2047:20240414,Alost,10318,,47,,1
1,000001,88____:007::8892007:8895000:9:2047:20240412,Alost,10318,,48,,1
2,000006,88____:007::8892338:8895000:19:2045:20240331,Alost,10318,,49,,1
2,000007,88____:007::8892338:8895000:19:2045:20240407,Alost,10318,,50,,1
2,000002,88____:007::8892338:8895000:19:2147:20240414,Alost,10319,,51,,1
1,000001,88____:007::8892007:8895000:9:2147:20240412,Alost,10319,,52,,1
2,000003,88____:007::8892338:8895000:19:2145:20240407,Alost,10319,,53,,1
2,000002,88____:007::8892338:8895000:19:2247:20240414,Alost,10320,,54,,1
1,000001,88____:007::8892007:8895000:9:2247:20240412,Alost,10320,,55,,1
2,000003,88____:007::8892338:8895000:19:2245:20240407,Alost,10320,,56,,1
1,000001,88____:007::8892007:8895000:9:2346:20240412,Alost,10321,,57,,1
1,000001,88____:007::8895000:8892007:9:648:20240412,Gand-Saint-Pierre,10328,,58,,1
2,000002,88____:007::8895000:8892338:19:808:20240414,La Panne,10328,,59,,1
2,000003,88____:007::8895000:8892338:19:808:20240407,La Panne,10328,,60,,1
1,000001,88____:007::8895000:8892007:9:747:20240412,Gand-Saint-Pierre,10329,,61,,1
2,000002,88____:007::8895000:8892338:19:908:20240414,La Panne,10329,,62,,1
2,000003,88____:007::8895000:8892338:19:908:20240407,La Panne,10329,,63,,1
1,000001,88____:007::8895000:8892007:9:847:20240412,Gand-Saint-Pierre,10330,,64,,1
2,000002,88____:007::8895000:8892338:19:1008:20240414,La Panne,10330,,65,,1
2,000003,88____:007::8895000:8892338:19:1008:20240407,La Panne,10330,,66,,1
1,000001,88____:007::8895000:8892007:9:947:20240412,Gand-Saint-Pierre,10331,,67,,1
2,000002,88____:007::8895000:8892338:19:1108:20240414,La Panne,10331,,68,,1
2,000006,88____:007::8895000:8892338:19:1108:20240331,La Panne,10331,,69,,1
2,000007,88____:007::8895000:8892338:19:1108:20240407,La Panne,10331,,70,,1
1,000001,88____:007::8895000:8892007:9:1047:20240412,Gand-Saint-Pierre,10332,,71,,1
2,000002,88____:007::8895000:8892338:19:1208:20240414,La Panne,10332,,72,,1
2,000006,88____:007::8895000:8892338:19:1208:20240331,La Panne,10332,,73,,1
2,000007,88____:007::8895000:8892338:19:1208:20240407,La Panne,10332,,74,,1
1,000001,88____:007::8895000:8892007:9:1147:20240412,Gand-Saint-Pierre,10333,,75,,1
2,000002,88____:007::8895000:8892338:19:1308:20240414,La Panne,10333,,76,,1
2,000003,88____:007::8895000:8892338:19:1308:20240407,La Panne,10333,,77,,1
1,000001,88____:007::8895000:8892007:9:1247:20240412,Gand-Saint-Pierre,10334,,78,,1
2,000002,88____:007::8895000:8892338:19:1408:20240414,La Panne,10334,,79,,1
2,000003,88____:007::8895000:8892338:19:1408:20240407,La Panne,10334,,80,,1
1,000001,88____:007::8895000:8892007:9:1347:20240412,Gand-Saint-Pierre,10335,,81,,1
2,000002,88____:007::8895000:8892338:19:1508:20240414,La Panne,10335,,82,,1
2,000003,88____:007::8895000:8892338:19:1508:20240407,La Panne,10335,,83,,1
1,000001,88____:007::8895000:8892007:9:1447:20240412,Gand-Saint-Pierre,10336,,84,,1
2,000002,88____:007::8895000:8892338:19:1608:20240414,La Panne,10336,,85,,1
2,000003,88____:007::8895000:8892338:19:1608:20240407,La Panne,10336,,86,,1
1,000001,88____:007::8895000:8892007:9:1547:20240412,Gand-Saint-Pierre,10337,,87,,1
2,000002,88____:007::8895000:8892338:19:1708:20240414,La Panne,10337,,88,,1
2,000003,88____:007::8895000:8892338:19:1708:20240407,La Panne,10337,,89,,1
1,000001,88____:007::8895000:8892007:9:1647:20240412,Gand-Saint-Pierre,10338,,90,,1
2,000002,88____:007::8895000:8892338:19:1808:20240414,La Panne,10338,,91,,1
2,000003,88____:007::8895000:8892338:19:1808:20240407,La Panne,10338,,92,,1
1,000001,88____:007::8895000:8892007:9:1747:20240412,Gand-Saint-Pierre,10339,,93,,1
2,000002,88____:007::8895000:8892338:19:1908:20240414,La Panne,10339,,94,,1
2,000003,88____:007::8895000:8892338:19:1908:20240407,La Panne,10339,,95,,1
1,000001,88____:007::8895000:8892007:9:1847:20240412,Gand-Saint-Pierre,10340,,96,,1
2,000002,88____:007::8895000:8892338:19:2008:20240414,La Panne,10340,,97,,1
2,000003,88____:007::8895000:8892338:19:2008:20240407,La Panne,10340,,98,,1
